"n","p","optimizer","epochs","batch_size","device","latent","n_layers","loss","time","se","type","lang"
2000,1000,"sgd",20,32,"cpu",1000,2,0.0369503386318684,0.234674859046936,0.00292815298823681,"python","python"
2000,1000,"sgd",20,32,"cpu",1000,4,151.694137573242,0.415076160430908,0.00203887991811014,"python","python"
2000,1000,"sgd",20,32,"cpu",1000,8,1079.43298339844,0.950110697746277,0.00300393717432114,"python","python"
2000,1000,"sgd",20,32,"cpu",1000,16,1079.57275390625,1.82661192417145,0.00965840216084052,"python","python"
2000,1000,"sgd",20,32,"cpu",1000,32,1079.52160644531,3.61716475486755,0.0514155798088403,"python","python"
2000,1000,"sgd",20,32,"cuda",1000,2,0.406655788421631,0.0402299165725708,0.000318356597342269,"python","python"
2000,1000,"sgd",20,32,"cuda",1000,4,609.470703125,0.0601760387420654,0.000610669719951492,"python","python"
2000,1000,"sgd",20,32,"cuda",1000,8,695.156494140625,0.0858453750610352,0.000516262364412964,"python","python"
2000,1000,"sgd",20,32,"cuda",1000,16,695.126770019531,0.156674551963806,0.000450609495677541,"python","python"
2000,1000,"sgd",20,32,"cuda",1000,32,695.138916015625,0.267548251152039,0.000739852143300211,"python","python"
2000,1000,"adam",20,32,"cpu",1000,2,13.7819204330444,0.469466662406921,0.00182641945731053,"python","python"
2000,1000,"adam",20,32,"cpu",1000,4,101.061660766602,0.952642583847046,0.0111805379830676,"python","python"
2000,1000,"adam",20,32,"cpu",1000,8,190.017456054688,2.01203472614288,0.0199591094571085,"python","python"
2000,1000,"adam",20,32,"cpu",1000,16,25.2917957305908,4.22511599063873,0.0135196020883184,"python","python"
2000,1000,"adam",20,32,"cpu",1000,32,1079.64990234375,7.55306077003479,0.0573673980792445,"python","python"
2000,1000,"adam",20,32,"cuda",1000,2,18.0820255279541,0.054225754737854,0.000464549336998923,"python","python"
2000,1000,"adam",20,32,"cuda",1000,4,121.090858459473,0.0704632520675659,0.000544427912144528,"python","python"
2000,1000,"adam",20,32,"cuda",1000,8,27.1391620635986,0.110787320137024,0.000127105076861679,"python","python"
2000,1000,"adam",20,32,"cuda",1000,16,460.1318359375,0.210909748077393,7.38085477625294e-05,"python","python"
2000,1000,"adam",20,32,"cuda",1000,32,694.368530273438,0.403777384757996,2.89848850580675e-05,"python","python"
2000,1000,"sgd",20,32,"cuda",1000,2,0.406655788421631,0.162631490013816,0.00334132336846352,"torchoptx","R"
2000,1000,"adam",20,32,"cuda",1000,2,14.9132747650146,0.196904615922408,0.00267089321483886,"torchoptx","R"
2000,1000,"sgd",20,32,"sgd",1000,2,0.0365463308990002,0.613205411217429,0.0286257014621514,"torchoptx","R"
2000,1000,"adam",20,32,"sgd",1000,2,14.211841583252,0.709805835377086,0.0280887143037148,"torchoptx","R"
2000,1000,"sgd",20,32,"cuda",1000,2,0.406653076410294,0.101483258334073,0.00151293373320148,"ignite","R"
2000,1000,"adam",20,32,"cuda",1000,2,14.9310474395752,0.122063420035622,0.001658978881156,"ignite","R"
2000,1000,"sgd",20,32,"sgd",1000,2,0.0365463308990002,0.297441655939276,0.00905407101663853,"ignite","R"
2000,1000,"adam",20,32,"sgd",1000,2,14.211841583252,0.413174715909091,0.00412322096366278,"ignite","R"
2000,1000,"sgd",20,32,"cuda",1000,4,609.470703125,0.216984727165916,0.00467935761682137,"torchoptx","R"
2000,1000,"adam",20,32,"cuda",1000,4,93.2423095703125,0.252811193466187,0.00463906537195343,"torchoptx","R"
2000,1000,"sgd",20,32,"sgd",1000,4,766.943237304688,0.979623014276678,0.0939165021058418,"torchoptx","R"
2000,1000,"adam",20,32,"sgd",1000,4,81.7146224975586,1.38324176181446,0.0406011759360451,"torchoptx","R"
2000,1000,"sgd",20,32,"cuda",1000,4,55.3837928771973,0.113060669465498,0.00218894233855661,"ignite","R"
2000,1000,"adam",20,32,"cuda",1000,4,90.5094299316406,0.147331584583629,0.00274277135693008,"ignite","R"
2000,1000,"sgd",20,32,"sgd",1000,4,766.943237304688,0.517478704452515,0.00650727209019349,"ignite","R"
2000,1000,"adam",20,32,"sgd",1000,4,81.7146224975586,0.882811546325683,0.0140278087386825,"ignite","R"
2000,1000,"sgd",20,32,"cuda",1000,8,695.156494140625,0.344726670872081,0.00341852642919973,"torchoptx","R"
2000,1000,"adam",20,32,"cuda",1000,8,91.0232543945312,0.387382052161477,0.00677112642010714,"torchoptx","R"
2000,1000,"sgd",20,32,"sgd",1000,8,1079.43200683594,1.69384763457558,0.127312279085659,"torchoptx","R"
2000,1000,"adam",20,32,"sgd",1000,8,237.604476928711,2.95683394778858,0.0758892376556178,"torchoptx","R"
2000,1000,"sgd",20,32,"cuda",1000,8,695.156677246094,0.133455709977583,0.00269267399078275,"ignite","R"
2000,1000,"adam",20,32,"cuda",1000,8,21.653564453125,0.187863284891302,0.00245769196964648,"ignite","R"
2000,1000,"sgd",20,32,"sgd",1000,8,1079.43200683594,1.09423596208746,0.0195883188260724,"ignite","R"
2000,1000,"adam",20,32,"sgd",1000,8,237.604476928711,1.92872472242875,0.0332905994301944,"ignite","R"
2000,1000,"sgd",20,32,"cuda",1000,16,695.126770019531,0.520405812696977,0.0138313308705959,"torchoptx","R"
2000,1000,"adam",20,32,"cuda",1000,16,167.681350708008,0.637637029994618,0.0180028471799198,"torchoptx","R"
2000,1000,"sgd",20,32,"sgd",1000,16,1079.57238769531,2.92096987637606,0.0454840702126047,"torchoptx","R"
2000,1000,"adam",20,32,"sgd",1000,16,823.092163085938,4.63883972167969,0.101466198559374,"torchoptx","R"
2000,1000,"sgd",20,32,"cuda",1000,16,695.126892089844,0.217012990604747,0.00335169514270358,"ignite","R"
2000,1000,"adam",20,32,"cuda",1000,16,614.833618164062,0.328329736536199,0.00240388610381098,"ignite","R"
2000,1000,"sgd",20,32,"sgd",1000,16,1079.57238769531,1.83920270746404,0.0190144964902036,"ignite","R"
2000,1000,"adam",20,32,"sgd",1000,16,823.092163085938,4.14305569908836,0.0463195812026943,"ignite","R"
2000,1000,"sgd",20,32,"cuda",1000,32,695.138916015625,0.867981108752164,0.0176999979039825,"torchoptx","R"
2000,1000,"adam",20,32,"cuda",1000,32,694.422668457031,1.11253740570762,0.0208565246785932,"torchoptx","R"
2000,1000,"sgd",20,32,"sgd",1000,32,1079.521484375,5.85576391220093,0.227747926518533,"torchoptx","R"
2000,1000,"adam",20,32,"sgd",1000,32,1079.71496582031,10.6530779491771,0.200472462681859,"torchoptx","R"
2000,1000,"sgd",20,32,"cuda",1000,32,695.138916015625,0.348834124478427,0.003677764598918,"ignite","R"
2000,1000,"adam",20,32,"cuda",1000,32,694.371459960938,0.581802845001221,0.00223712618007302,"ignite","R"
2000,1000,"sgd",20,32,"sgd",1000,32,1079.521484375,4.28333607586947,0.0226588243369625,"ignite","R"
2000,1000,"adam",20,32,"sgd",1000,32,1079.71496582031,7.62468335845254,0.0508649201586607,"ignite","R"
